kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mat.1.sm_20.ptx 60 : 262144 1333612 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 57 : 262144 831506 0 0 0 262144 262144 0 0 
mat.1.sm_20.ptx 56 : 262144 2529397 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 55 : 262144 1577934 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 54 : 262144 2359693 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 53 : 262144 51042458 342016 0 0 262144 262144 0 0 
mat.1.sm_20.ptx 52 : 262144 50054015 170112 0 0 262144 262144 0 0 
mat.1.sm_20.ptx 51 : 262144 2418938 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 36 : 262144 1384426 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 35 : 262144 1398917 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 34 : 262144 1379502 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 33 : 262144 2688145 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 32 : 262144 1338676 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 31 : 262144 1337909 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 27 : 262144 640410 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 50 : 262144 1593265 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 28 : 262144 714006 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 29 : 262144 785931 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 30 : 262144 1337003 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 37 : 262144 2678822 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 38 : 262144 1594388 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 39 : 262144 1575427 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 40 : 262144 1575299 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 41 : 262144 0 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 42 : 262144 1359928 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 45 : 262144 1585453 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 46 : 262144 1585444 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 47 : 262144 2371309 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 48 : 262144 2367845 0 0 0 0 0 0 0 
mat.1.sm_20.ptx 49 : 262144 2368704 0 0 0 0 0 0 0 
